epoch,lr-Adam,step,train/loss/node_label,train/loss/total,train/node_label/f1_score,train/node_label/accuracy,val/loss/total,val/node_label/f1_score,val/loss/node_label,val/node_label/accuracy,test/loss/total,test/node_label/f1_score,test/node_label/accuracy,test/loss/node_label
,0.001,0,,,,,,,,,,,,
,0.001,49,,,,,,,,,,,,
0,,49,1.3194961547851562,1.3194961547851562,0.9080206155776978,0.9080206155776978,,,,,,,,
0,,66,,,,,1.8003195524215698,0.747168779373169,1.8003195524215698,0.747168779373169,,,,
,0.001,67,,,,,,,,,,,,
,0.001,99,,,,,,,,,,,,
1,,99,1.190000295639038,1.190000295639038,0.9318537712097168,0.9318537712097168,,,,,,,,
1,,133,,,,,1.8003195524215698,0.5424332618713379,1.8003195524215698,0.5424332618713379,,,,
,0.001,134,,,,,,,,,,,,
,0.001,149,,,,,,,,,,,,
2,,149,1.4391921758651733,1.4391921758651733,0.34909093379974365,0.34909093379974365,,,,,,,,
,0.001,199,,,,,,,,,,,,
2,,199,1.5177857875823975,1.5177857875823975,0.0876343697309494,0.0876343697309494,,,,,,,,
2,,200,,,,,1.800319790840149,0.04024666175246239,1.800319790840149,0.04024666175246239,,,,
,0.001,201,,,,,,,,,,,,
,0.001,249,,,,,,,,,,,,
3,,249,1.3749338388442993,1.3749338388442993,0.1025749146938324,0.1025749146938324,,,,,,,,
3,,267,,,,,1.8003194332122803,0.02846812829375267,1.8003194332122803,0.02846812829375267,,,,
,0.001,268,,,,,,,,,,,,
,0.001,299,,,,,,,,,,,,
4,,299,1.2486562728881836,1.2486562728881836,0.0065628415904939175,0.0065628415904939175,,,,,,,,
4,,334,,,,,1.800301194190979,0.0,1.800301194190979,0.0,,,,
,0.001,335,,,,,,,,,,,,
,0.001,349,,,,,,,,,,,,
5,,349,1.2517857551574707,1.2517857551574707,0.0,0.0,,,,,,,,
,0.001,399,,,,,,,,,,,,
5,,399,1.5039269924163818,1.5039269924163818,0.0,0.0,,,,,,,,
5,,401,,,,,1.8002959489822388,0.0,1.8002959489822388,0.0,,,,
,0.001,402,,,,,,,,,,,,
,0.001,449,,,,,,,,,,,,
6,,449,1.22218918800354,1.22218918800354,0.0,0.0,,,,,,,,
6,,468,,,,,1.8003108501434326,0.0,1.8003108501434326,0.0,,,,
,0.001,469,,,,,,,,,,,,
,0.001,499,,,,,,,,,,,,
7,,499,1.3046958446502686,1.3046958446502686,0.0,0.0,,,,,,,,
7,,535,,,,,1.8003102540969849,0.0,1.8003102540969849,0.0,,,,
,0.001,536,,,,,,,,,,,,
,0.001,549,,,,,,,,,,,,
8,,549,1.413867712020874,1.413867712020874,0.0,0.0,,,,,,,,
,0.001,599,,,,,,,,,,,,
8,,599,1.1983351707458496,1.1983351707458496,0.0,0.0,,,,,,,,
8,,602,,,,,1.8003138303756714,0.0,1.8003138303756714,0.0,,,,
,0.001,603,,,,,,,,,,,,
,0.001,649,,,,,,,,,,,,
9,,649,1.3880151510238647,1.3880151510238647,0.0,0.0,,,,,,,,
9,,669,,,,,1.8003087043762207,0.0,1.8003087043762207,0.0,,,,
,0.001,670,,,,,,,,,,,,
,0.001,699,,,,,,,,,,,,
10,,699,1.4931889772415161,1.4931889772415161,0.0,0.0,,,,,,,,
10,,736,,,,,1.8003126382827759,0.0,1.8003126382827759,0.0,,,,
,0.001,737,,,,,,,,,,,,
,0.001,749,,,,,,,,,,,,
11,,749,1.236195683479309,1.236195683479309,0.0,0.0,,,,,,,,
,0.001,799,,,,,,,,,,,,
11,,799,1.4781113862991333,1.4781113862991333,0.0,0.0,,,,,,,,
11,,803,,,,,1.800315499305725,0.0,1.800315499305725,0.0,,,,
,0.001,804,,,,,,,,,,,,
,0.001,849,,,,,,,,,,,,
12,,849,1.2817813158035278,1.2817813158035278,0.0,0.0,,,,,,,,
12,,870,,,,,1.8003119230270386,0.0,1.8003119230270386,0.0,,,,
,0.001,871,,,,,,,,,,,,
,0.001,899,,,,,,,,,,,,
13,,899,1.3748893737792969,1.3748893737792969,0.0,0.0,,,,,,,,
13,,937,,,,,1.8003100156784058,0.0,1.8003100156784058,0.0,,,,
,0.001,938,,,,,,,,,,,,
,0.001,949,,,,,,,,,,,,
14,,949,1.397830605506897,1.397830605506897,0.0,0.0,,,,,,,,
,0.001,999,,,,,,,,,,,,
14,,999,1.3601020574569702,1.3601020574569702,0.0,0.0,,,,,,,,
14,,1004,,,,,1.8003108501434326,0.0,1.8003108501434326,0.0,,,,
,0.001,1005,,,,,,,,,,,,
,0.001,1049,,,,,,,,,,,,
15,,1049,1.288598895072937,1.288598895072937,0.0,0.0,,,,,,,,
15,,1071,,,,,1.8003122806549072,0.0,1.8003122806549072,0.0,,,,
,0.001,1072,,,,,,,,,,,,
,0.001,1099,,,,,,,,,,,,
16,,1099,1.2820923328399658,1.2820923328399658,0.0,0.0,,,,,,,,
16,,1138,,,,,1.80031156539917,0.0,1.80031156539917,0.0,,,,
,0.001,1139,,,,,,,,,,,,
,0.001,1149,,,,,,,,,,,,
17,,1149,1.2804486751556396,1.2804486751556396,0.0,0.0,,,,,,,,
,0.001,1199,,,,,,,,,,,,
17,,1199,1.3218916654586792,1.3218916654586792,0.0,0.0,,,,,,,,
17,,1205,,,,,1.80031156539917,0.0,1.80031156539917,0.0,,,,
,0.001,1206,,,,,,,,,,,,
,0.001,1249,,,,,,,,,,,,
18,,1249,1.3675196170806885,1.3675196170806885,0.0,0.0,,,,,,,,
18,,1272,,,,,1.8003116846084595,0.0,1.8003116846084595,0.0,,,,
,0.001,1273,,,,,,,,,,,,
,0.001,1299,,,,,,,,,,,,
19,,1299,1.386405348777771,1.386405348777771,0.0,0.0,,,,,,,,
19,,1339,,,,,1.8003089427947998,0.0,1.8003089427947998,0.0,,,,
,0.001,1340,,,,,,,,,,,,
,0.001,1349,,,,,,,,,,,,
20,,1349,1.280885100364685,1.280885100364685,0.0,0.0,,,,,,,,
,0.001,1399,,,,,,,,,,,,
20,,1399,1.4259809255599976,1.4259809255599976,0.0,0.0,,,,,,,,
20,,1406,,,,,1.8003108501434326,0.0,1.8003108501434326,0.0,,,,
,0.001,1407,,,,,,,,,,,,
,0.001,1449,,,,,,,,,,,,
21,,1449,1.3593809604644775,1.3593809604644775,0.0,0.0,,,,,,,,
21,,1473,,,,,1.8003116846084595,0.0,1.8003116846084595,0.0,,,,
,0.001,1474,,,,,,,,,,,,
,0.001,1499,,,,,,,,,,,,
22,,1499,1.2388731241226196,1.2388731241226196,0.0,0.0,,,,,,,,
22,,1540,,,,,1.8003120422363281,0.0,1.8003120422363281,0.0,,,,
,0.001,1541,,,,,,,,,,,,
,0.001,1549,,,,,,,,,,,,
23,,1549,1.3468437194824219,1.3468437194824219,0.0,0.0,,,,,,,,
,0.001,1599,,,,,,,,,,,,
23,,1599,1.4589753150939941,1.4589753150939941,0.0,0.0,,,,,,,,
23,,1607,,,,,1.800313949584961,0.0,1.800313949584961,0.0,,,,
,0.001,1608,,,,,,,,,,,,
,0.001,1649,,,,,,,,,,,,
24,,1649,1.3457242250442505,1.3457242250442505,0.0,0.0,,,,,,,,
24,,1674,,,,,1.8003138303756714,0.0,1.8003138303756714,0.0,,,,
,0.001,1675,,,,,,,,,,,,
,0.001,1699,,,,,,,,,,,,
25,,1699,1.2839975357055664,1.2839975357055664,0.0,0.0,,,,,,,,
25,,1741,,,,,1.8003112077713013,0.0,1.8003112077713013,0.0,,,,
,0.001,1742,,,,,,,,,,,,
,0.001,1749,,,,,,,,,,,,
26,,1749,1.296366572380066,1.296366572380066,0.0,0.0,,,,,,,,
,0.001,1799,,,,,,,,,,,,
26,,1799,1.3141427040100098,1.3141427040100098,0.0,0.0,,,,,,,,
26,,1808,,,,,1.8003108501434326,0.0,1.8003108501434326,0.0,,,,
,0.001,1809,,,,,,,,,,,,
,0.001,1849,,,,,,,,,,,,
27,,1849,1.3792105913162231,1.3792105913162231,0.0,0.0,,,,,,,,
27,,1875,,,,,1.800312876701355,0.0,1.800312876701355,0.0,,,,
,0.001,1876,,,,,,,,,,,,
,0.001,1899,,,,,,,,,,,,
28,,1899,1.3413567543029785,1.3413567543029785,0.0,0.0,,,,,,,,
28,,1942,,,,,1.800310492515564,0.0,1.800310492515564,0.0,,,,
,0.001,1943,,,,,,,,,,,,
,0.001,1949,,,,,,,,,,,,
29,,1949,1.3863774538040161,1.3863774538040161,0.0,0.0,,,,,,,,
,0.001,1999,,,,,,,,,,,,
29,,1999,1.3095366954803467,1.3095366954803467,0.0,0.0,,,,,,,,
