step,train/node_label/f1_score,train/loss/total,train/loss/node_label,train/node_label/accuracy,epoch,lr-Adam,val/loss/node_label,val/node_label/f1_score,val/node_label/accuracy,val/loss/total,test/loss/total,test/node_label/accuracy,test/loss/node_label,test/node_label/f1_score
1339,,,,,19,,1.6278587579727173,0.535614013671875,0.06829255819320679,1.6278587579727173,,,,
1340,,,,,,0.001,,,,,,,,
1349,,,,,,0.001,,,,,,,,
1349,0.706237256526947,1.2631393671035767,1.2631393671035767,0.11692012846469879,20,,,,,,,,,
1399,,,,,,0.001,,,,,,,,
1399,0.6700320243835449,1.3084851503372192,1.3084851503372192,0.08338963240385056,20,,,,,,,,,
1406,,,,,20,,1.6198439598083496,0.5565037131309509,0.08620082587003708,1.6198439598083496,,,,
1407,,,,,,0.001,,,,,,,,
1449,,,,,,0.001,,,,,,,,
1449,0.7445226907730103,1.2813668251037598,1.2813668251037598,0.17508694529533386,21,,,,,,,,,
1473,,,,,21,,1.6227498054504395,0.5190680623054504,0.05709376931190491,1.6227498054504395,,,,
1474,,,,,,0.001,,,,,,,,
1499,,,,,,0.001,,,,,,,,
1499,0.7428804636001587,1.2275606393814087,1.2275606393814087,0.1646939516067505,22,,,,,,,,,
1540,,,,,22,,1.5832873582839966,0.5737554430961609,0.10105100274085999,1.5832873582839966,,,,
1541,,,,,,0.001,,,,,,,,
1549,,,,,,0.001,,,,,,,,
1549,0.7645292282104492,1.2761634588241577,1.2761634588241577,0.1709054857492447,23,,,,,,,,,
1599,,,,,,0.001,,,,,,,,
1599,0.6853572130203247,1.3098582029342651,1.3098582029342651,0.1236797645688057,23,,,,,,,,,
1607,,,,,23,,1.6656651496887207,0.5169793367385864,0.08320983499288559,1.6656651496887207,,,,
1608,,,,,,0.001,,,,,,,,
1649,,,,,,0.001,,,,,,,,
1649,0.7184531092643738,1.2457852363586426,1.2457852363586426,0.13822919130325317,24,,,,,,,,,
1674,,,,,24,,1.6620839834213257,0.5369905233383179,0.10277019441127777,1.6620839834213257,,,,
1675,,,,,,0.001,,,,,,,,
1699,,,,,,0.001,,,,,,,,
1699,0.7501546144485474,1.231960654258728,1.231960654258728,0.15318524837493896,25,,,,,,,,,
1741,,,,,25,,1.670853853225708,0.5233051776885986,0.09643958508968353,1.670853853225708,,,,
1742,,,,,,0.001,,,,,,,,
1749,,,,,,0.001,,,,,,,,
1749,0.7455809116363525,1.244195818901062,1.244195818901062,0.1725771576166153,26,,,,,,,,,
1799,,,,,,0.001,,,,,,,,
1799,0.6752021312713623,1.2775484323501587,1.2775484323501587,0.08335506916046143,26,,,,,,,,,
1808,,,,,26,,1.6868469715118408,0.5147697925567627,0.1045360118150711,1.6868469715118408,,,,
1809,,,,,,0.001,,,,,,,,
1849,,,,,,0.001,,,,,,,,
1849,0.7185982465744019,1.2745580673217773,1.2745580673217773,0.17384938895702362,27,,,,,,,,,
1875,,,,,27,,1.635362148284912,0.5452250838279724,0.10800282657146454,1.635362148284912,,,,
1876,,,,,,0.001,,,,,,,,
1899,,,,,,0.001,,,,,,,,
1899,0.718845546245575,1.2249048948287964,1.2249048948287964,0.17365588247776031,28,,,,,,,,,
1942,,,,,28,,1.7047083377838135,0.5111059546470642,0.11534005403518677,1.7047083377838135,,,,
1943,,,,,,0.001,,,,,,,,
1949,,,,,,0.001,,,,,,,,
1949,0.7238782644271851,1.2642561197280884,1.2642561197280884,0.1550222784280777,29,,,,,,,,,
1999,,,,,,0.001,,,,,,,,
1999,0.753725528717041,1.1977254152297974,1.1977254152297974,0.1791943907737732,29,,,,,,,,,
2009,,,,,29,,1.6557124853134155,0.5250234007835388,0.09496179223060608,1.6557124853134155,,,,
2010,,,,,,0.001,,,,,,,,
