val/loss/total,lr-Adam,step,val/loss/node_label,val/node_label/accuracy,epoch,val/node_label/f1_score,train/node_label/accuracy,train/node_label/f1_score,train/loss/node_label,train/loss/total,test/node_label/accuracy,test/loss/total,test/loss/node_label,test/node_label/f1_score
1.40373694896698,,758,1.40373694896698,0.00035558364470489323,32,0.4566538631916046,,,,,,,,
,0.0001,759,,,,,,,,,,,,
1.4105130434036255,,781,1.4105130434036255,0.0005969890626147389,33,0.4580725431442261,,,,,,,,
,0.0001,782,,,,,,,,,,,,
,0.0001,799,,,,,,,,,,,,
,,799,,,34,,0.0009245408582501113,0.45992761850357056,1.2562350034713745,1.2562350034713745,,,,
1.4142723083496094,,804,1.4142723083496094,0.0011473747435957193,34,0.46125391125679016,,,,,,,,
,0.0001,805,,,,,,,,,,,,
1.4000588655471802,,827,1.4000588655471802,0.0030348110012710094,35,0.4717303216457367,,,,,,,,
,0.0001,828,,,,,,,,,,,,
,0.0001,849,,,,,,,,,,,,
,,849,,,36,,0.003986380062997341,0.4737013578414917,1.3616390228271484,1.3616390228271484,,,,
1.4086850881576538,,850,1.4086850881576538,0.003536262782290578,36,0.47442713379859924,,,,,,,,
,0.0001,851,,,,,,,,,,,,
1.4206290245056152,,873,1.4206290245056152,0.0038769335951656103,37,0.4762343466281891,,,,,,,,
,0.0001,874,,,,,,,,,,,,
1.4079066514968872,,896,1.4079066514968872,0.006627929862588644,38,0.49018099904060364,,,,,,,,
,0.0001,897,,,,,,,,,,,,
,0.0001,899,,,,,,,,,,,,
,,899,,,39,,0.00823257490992546,0.4993070960044861,1.2561038732528687,1.2561038732528687,,,,
1.418035626411438,,919,1.418035626411438,0.007621978875249624,39,0.4949447214603424,,,,,,,,
,0.0001,920,,,,,,,,,,,,
1.4246996641159058,,942,1.4246996641159058,0.00918365828692913,40,0.5021666884422302,,,,,,,,
,0.0001,943,,,,,,,,,,,,
,0.0001,949,,,,,,,,,,,,
,,949,,,41,,0.015017910860478878,0.5305054187774658,1.3006377220153809,1.3006377220153809,,,,
1.4074456691741943,,965,1.4074456691741943,0.012542364187538624,41,0.5166125297546387,,,,,,,,
,0.0001,966,,,,,,,,,,,,
1.423797607421875,,988,1.423797607421875,0.01303729135543108,42,0.5186249017715454,,,,,,,,
,0.0001,989,,,,,,,,,,,,
,0.0001,999,,,,,,,,,,,,
,,999,,,43,,0.01731303334236145,0.5419192910194397,1.2704811096191406,1.2704811096191406,,,,
1.4299671649932861,,1011,1.4299671649932861,0.015394022688269615,43,0.5276228189468384,,,,,,,,
,0.0001,1012,,,,,,,,,,,,
1.440962791442871,,1034,1.440962791442871,0.016958031803369522,44,0.5332144498825073,,,,,,,,
,0.0001,1035,,,,,,,,,,,,
,0.0001,1049,,,,,,,,,,,,
,,1049,,,45,,0.022413454949855804,0.5581826567649841,1.2999824285507202,1.2999824285507202,,,,
1.4481629133224487,,1057,1.4481629133224487,0.019396783784031868,45,0.5411213636398315,,,,,,,,
,0.0001,1058,,,,,,,,,,,,
1.4325255155563354,,1080,1.4325255155563354,0.023531435057520866,46,0.5522521734237671,,,,,,,,
,0.0001,1081,,,,,,,,,,,,
,0.0001,1099,,,,,,,,,,,,
,,1099,,,47,,0.05222029238939285,0.6832762956619263,1.2599596977233887,1.2599596977233887,,,,
1.4699935913085938,,1103,1.4699935913085938,0.02300341986119747,47,0.5512782335281372,,,,,,,,
,0.0001,1104,,,,,,,,,,,,
1.4279049634933472,,1126,1.4279049634933472,0.028013281524181366,48,0.5616865158081055,,,,,,,,
,0.0001,1127,,,,,,,,,,,,
,0.0001,1149,,,,,,,,,,,,
,,1149,,,49,,0.00877496786415577,0.4853677749633789,1.265486717224121,1.265486717224121,,,,
1.5003528594970703,,1149,1.5003528594970703,0.0240249652415514,49,0.5541268587112427,,,,,,,,
,0.0001,1150,,,,,,,,,,,,
1.4752264022827148,,1172,1.4752264022827148,0.028362805023789406,50,0.5630406737327576,,,,,,,,
,,1173,,,51,,,,,,0.029592465609312057,1.901645302772522,1.901645302772522,0.5655326843261719
